id|version|ask|bid|date_scraped|last|open|option_id|stockprice|vol|id|version|name|strike|type
52172|0|36.25|35.95|2013-06-04 17:07:37.662|34.27|77|51158|452|3|51158|0|AAPL7130817C00430000|430|Call
52173|0|33|32.7|2013-06-04 17:07:37.667|31.32|979|51160|452|2|51160|0|AAPL130817C00435000|435|Call
52174|0|33|32.7|2013-06-04 17:07:37.673|26.8|553|51162|452|11|51162|0|AAPL7130817C00435000|435|Call
52175|0|29.95|29.65|2013-06-04 17:07:37.678|28.38|NaN|51164|452|69|51164|0|AAPL130817C00440000|440|Call
52176|0|29.9|29.65|2013-06-04 17:07:37.684|25.9|618|51166|452|4|51166|0|AAPL7130817C00440000|440|Call
52177|0|27.45|27.2|2013-06-04 17:07:37.69|27.2|974|51168|452|78|51168|0|AAPL130817C00445000|445|Call
52178|0|27.5|27.15|2013-06-04 17:07:37.695|24.65|192|51170|452|27|51170|0|AAPL7130817C00445000|445|Call
52179|0|24.35|24.15|2013-06-04 17:07:37.703|24.1|NaN|51172|452|79|51172|0|AAPL130817C00450000|450|Call
52180|0|24.4|24.1|2013-06-04 17:07:37.708|23.9|283|51174|452|10|51174|0|AAPL7130817C00450000|450|Call
52181|0|21.85|21.6|2013-06-04 17:07:37.713|21.4|980|51176|452|12|51176|0|AAPL130817C00455000|455|Call
52182|0|21.85|21.6|2013-06-04 17:07:37.719|17.25|118|51178|452|23|51178|0|AAPL7130817C00455000|455|Call
52183|0|19.65|19.3|2013-06-04 17:07:37.726|19.45|NaN|51180|452|116|51180|0|AAPL130817C00460000|460|Call
52184|0|19.65|19.4|2013-06-04 17:07:37.731|19.2|655|51182|452|24|51182|0|AAPL7130817C00460000|460|Call
52185|0|17.45|17.15|2013-06-04 17:07:37.737|16.75|NaN|51184|452|12|51184|0|AAPL130817C00465000|465|Call
52186|0|17.4|17.1|2013-06-04 17:07:37.743|16.7|60|51186|452|18|51186|0|AAPL7130817C00465000|465|Call
52187|0|15.35|15.1|2013-06-04 17:07:37.748|14.86|NaN|51188|452|13|51188|0|AAPL130817C00470000|470|Call
52188|0|15.6|15.35|2013-06-04 17:07:37.754|14.95|143|51190|452|4|51190|0|AAPL7130817C00470000|470|Call
52189|0|13.6|13.35|2013-06-04 17:07:37.759|12.9|NaN|51192|452|82|51192|0|AAPL130817C00475000|475|Call
52190|0|13.6|13.35|2013-06-04 17:07:37.765|11.25|87|51194|452|2|51194|0|AAPL7130817C00475000|475|Call
52191|0|11.95|11.7|2013-06-04 17:07:37.771|11.83|NaN|51196|452|72|51196|0|AAPL130817C00480000|480|Call
52192|0|12|11.75|2013-06-04 17:07:37.778|11.47|128|51198|452|3|51198|0|AAPL7130817C00480000|480|Call
52193|0|10.55|10.25|2013-06-04 17:07:37.784|9.85|681|51200|452|31|51200|0|AAPL130817C00485000|485|Call
52194|0|10.55|10.25|2013-06-04 17:07:37.791|9.85|76|51202|452|10|51202|0|AAPL7130817C00485000|485|Call
52195|0|9.15|8.95|2013-06-04 17:07:37.797|8.85|901|51204|452|37|51204|0|AAPL130817C00490000|490|Call
52196|0|9.2|8.95|2013-06-04 17:07:37.804|10|168|51206|452|8|51206|0|AAPL7130817C00490000|490|Call
52197|0|8.05|7.8|2013-06-04 17:07:37.812|7.2|515|51208|452|70|51208|0|AAPL130817C00495000|495|Call
52198|0|8.05|7.8|2013-06-04 17:07:37.818|5.8|18|51210|452|5|51210|0|AAPL7130817C00495000|495|Call
52199|0|6.9|6.75|2013-06-04 17:07:37.824|6.79|NaN|51212|452|131|51212|0|AAPL130817C00500000|500|Call
52200|0|7|6.75|2013-06-04 17:07:37.83|6.55|369|51214|452|11|51214|0|AAPL7130817C00500000|500|Call
52201|0|6.05|5.9|2013-06-04 17:07:37.837|5.7|461|51216|452|2|51216|0|AAPL130817C00505000|505|Call
52202|0|6.05|5.75|2013-06-04 17:07:37.845|5.01|36|51218|452|5|51218|0|AAPL7130817C00505000|505|Call
52203|0|5.3|5.1|2013-06-04 17:07:37.852|5|583|51220|452|8|51220|0|AAPL130817C00510000|510|Call
52204|0|5.25|5.05|2013-06-04 17:07:37.858|3.72|55|51222|452|3|51222|0|AAPL7130817C00510000|510|Call
52205|0|4.55|4.4|2013-06-04 17:07:37.866|4.26|203|51224|452|10|51224|0|AAPL130817C00515000|515|Call
52206|0|4.6|4.4|2013-06-04 17:07:37.874|4.6|29|51226|452|1|51226|0|AAPL7130817C00515000|515|Call
52207|0|3.9|3.8|2013-06-04 17:07:37.881|3.65|457|51228|452|11|51228|0|AAPL130817C00520000|520|Call
52208|0|3.95|3.75|2013-06-04 17:07:37.888|3.53|170|51230|452|37|51230|0|AAPL7130817C00520000|520|Call
52209|0|3.4|3.25|2013-06-04 17:07:37.893|3.25|419|51232|452|4|51232|0|AAPL130817C00525000|525|Call
52210|0|3.45|3.3|2013-06-04 17:07:37.899|2.98|86|51234|452|5|51234|0|AAPL7130817C00525000|525|Call
52211|0|2.92|2.78|2013-06-04 17:07:37.905|2.62|487|51236|452|45|51236|0|AAPL130817C00530000|530|Call
52212|0|2.94|2.79|2013-06-04 17:07:37.91|2.53|61|51238|452|1|51238|0|AAPL7130817C00530000|530|Call
52213|0|2.54|2.41|2013-06-04 17:07:37.916|2.02|342|51240|452|21|51240|0|AAPL130817C00535000|535|Call
52214|0|2.58|2.44|2013-06-04 17:07:37.922|3.01|34|51242|452|3|51242|0|AAPL7130817C00535000|535|Call
52215|0|2.19|2.05|2013-06-04 17:07:37.927|1.95|152|51244|452|1|51244|0|AAPL130817C00540000|540|Call
52216|0|2.5|1.84|2013-06-04 17:07:37.934|3.2|26|51246|452|3|51246|0|AAPL7130817C00540000|540|Call
52217|0|1.9|1.78|2013-06-04 17:07:37.941|1.64|240|51248|452|13|51248|0|AAPL130817C00545000|545|Call
52219|0|1.88|1.76|2013-06-04 17:07:37.993|1.78|1|52218|452|1|52218|0|AAPL7130817C00545000|545|Call
52220|0|1.64|1.55|2013-06-04 17:07:38|1.54|NaN|51250|452|50|51250|0|AAPL130817C00550000|550|Call
52221|0|1.64|1.5|2013-06-04 17:07:38.006|1.4|19|51252|452|1|51252|0|AAPL7130817C00550000|550|Call
52222|0|1.43|1.32|2013-06-04 17:07:38.013|1.3|212|51254|452|10|51254|0|AAPL130817C00555000|555|Call
52223|0|1.42|1.3|2013-06-04 17:07:38.021|1.42|53|51256|452|10|51256|0|AAPL7130817C00555000|555|Call
52224|0|1.22|1.13|2013-06-04 17:07:38.028|1.17|201|51258|452|8|51258|0|AAPL130817C00560000|560|Call
52225|0|1.27|1.09|2013-06-04 17:07:38.037|1.08|20|51260|452|10|51260|0|AAPL7130817C00560000|560|Call
52226|0|1.06|0.96|2013-06-04 17:07:38.045|1.25|NaN|51262|452|1|51262|0|AAPL130817C00565000|565|Call
52227|0|0.94|0.84|2013-06-04 17:07:38.053|0.86|225|51264|452|1|51264|0|AAPL130817C00570000|570|Call
52228|0|0.83|0.72|2013-06-04 17:07:38.062|0.9|284|51266|452|16|51266|0|AAPL130817C00575000|575|Call
52229|0|0.73|0.63|2013-06-04 17:07:38.07|0.68|88|51268|452|1|51268|0|AAPL130817C00580000|580|Call
52230|0|0.67|0.55|2013-06-04 17:07:38.078|0.63|90|51270|452|1|51270|0|AAPL130817C00585000|585|Call
52231|0|0.59|0.5|2013-06-04 17:07:38.086|0.55|95|51272|452|3|51272|0|AAPL130817C00590000|590|Call
52232|0|0.53|0.44|2013-06-04 17:07:38.093|0.49|130|51274|452|20|51274|0|AAPL130817C00595000|595|Call
52233|0|0.47|0.4|2013-06-04 17:07:38.099|0.45|822|51276|452|21|51276|0|AAPL130817C00600000|600|Call
52234|0|0.51|0.32|2013-06-04 17:07:38.104|0.54|419|51278|452|4|51278|0|AAPL7130817C00600000|600|Call
52235|0|0.43|0.34|2013-06-04 17:07:38.11|0.37|104|51280|452|20|51280|0|AAPL130817C00605000|605|Call
52236|0|0.44|0.32|2013-06-04 17:07:38.117|0.41|61|51282|452|51|51282|0|AAPL7130817C00605000|605|Call
52237|0|0.42|0.27|2013-06-04 17:07:38.124|0.62|238|51284|452|150|51284|0|AAPL130817C00610000|610|Call
52238|0|0.43|0.18|2013-06-04 17:07:38.13|0.28|167|51286|452|90|51286|0|AAPL130817C00615000|615|Call
52239|0|0.37|0.22|2013-06-04 17:07:38.137|0.23|161|51288|452|3|51288|0|AAPL130817C00620000|620|Call
52240|0|0.37|0.18|2013-06-04 17:07:38.142|0.39|40|51290|452|32|51290|0|AAPL130817C00625000|625|Call
52241|0|0.35|0.15|2013-06-04 17:07:38.148|0.32|20|51292|452|2|51292|0|AAPL130817C00630000|630|Call
52242|0|0.34|0.13|2013-06-04 17:07:38.154|0.46|8|51294|452|8|51294|0|AAPL130817C00635000|635|Call
52243|0|0.31|0.11|2013-06-04 17:07:38.159|0.45|2|51296|452|2|51296|0|AAPL130817C00640000|640|Call
52244|0|0.32|0.09|2013-06-04 17:07:38.163|0.42|1|51298|452|1|51298|0|AAPL130817C00645000|645|Call
52245|0|0.3|0.07|2013-06-04 17:07:38.168|0.45|40|51300|452|40|51300|0|AAPL130817C00650000|650|Call
52246|0|0.25|0.07|2013-06-04 17:07:38.173|0.18|61|51302|452|6|51302|0|AAPL130817C00655000|655|Call
52247|0|0.25|0.06|2013-06-04 17:07:38.178|0.13|12|51304|452|1|51304|0|AAPL130817C00660000|660|Call
52248|0|NaN|NaN|2013-06-04 17:07:38.205|NaN|NaN|51059|452|NaN|51059|0||NaN|Call
52249|0|NaN|NaN|2013-06-04 17:07:38.212|NaN|NaN|51059|452|NaN|51059|0||NaN|Call
52251|0|0.05|-1|2013-06-04 17:07:38.253|0.05|5|52250|452|5|52250|0|AAPL130817P00200000|200|Put
52252|0|0.05|0.01|2013-06-04 17:07:38.261|0.13|36|51308|452|34|51308|0|AAPL130817P00210000|210|Put
